Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
al Albania,19,27,35.7,3,33,270,3,3,1,4,3,0,0,7,0,2.4,2.4,1.6,4,33,61,1,0.33,1.33,1,1.33,0.81,0.53,1.34,0.81,1.34
at Austria,19,27,52.8,4,44,360,4,6,5,11,5,1,1,12,0,6.9,6.1,5.3,11.4,75,176,1.5,1.25,2.75,1.25,2.5,1.73,1.31,3.04,1.53,2.85
be Belgium,18,27.8,55,4,44,360,4,2,1,3,2,0,0,7,0,4.5,4.5,3.1,7.6,75,132,0.5,0.25,0.75,0.5,0.75,1.12,0.78,1.89,1.12,1.89
hr Croatia,19,28.6,55.7,3,33,270,3,2,1,3,2,0,2,7,0,5.7,4,3.5,7.6,62,124,0.67,0.33,1,0.67,1,1.89,1.17,3.07,1.35,2.52
cz Czechia,21,26.8,40.7,3,33,270,3,3,2,5,3,0,0,13,2,5.1,5.1,3.2,8.2,44,80,1,0.67,1.67,1,1.67,1.69,1.06,2.74,1.69,2.74
dk Denmark,19,28.1,54,4,44,360,4,2,2,4,2,0,0,8,0,4.3,4.3,3.7,8,58,164,0.5,0.5,1,0.5,1,1.08,0.93,2,1.08,2
eng England,21,26.6,54.9,7,77,690,7.7,8,5,13,7,1,1,14,0,6,5.3,3.6,8.9,117,312,1.04,0.65,1.7,0.91,1.57,0.79,0.47,1.26,0.69,1.16
fr France,18,26.7,50.8,6,66,570,6.3,2,1,3,1,1,1,9,0,9,8.2,6.8,15,168,340,0.32,0.16,0.47,0.16,0.32,1.42,1.07,2.49,1.29,2.36
ge Georgia,20,26.7,33.8,4,44,360,4,4,2,6,2,2,2,7,0,4.4,2.8,2.6,5.3,52,93,1,0.5,1.5,0.5,1,1.09,0.64,1.73,0.7,1.34
de Germany,23,29,62.6,5,55,480,5.3,11,8,19,9,2,2,13,0,9.7,8.2,7.3,15.5,112,299,2.06,1.5,3.56,1.69,3.19,1.82,1.37,3.19,1.54,2.91
hu Hungary,20,27.3,41.3,3,33,270,3,2,2,4,2,0,0,10,0,3.7,3.7,2.8,6.5,38,85,0.67,0.67,1.33,0.67,1.33,1.22,0.94,2.16,1.22,2.16
it Italy,21,26.7,53.8,4,44,360,4,3,2,5,3,0,0,9,0,3.3,3.3,2.7,5.9,73,150,0.75,0.5,1.25,0.75,1.25,0.82,0.66,1.48,0.82,1.48
nl Netherlands,21,27,53.7,6,66,540,6,9,7,16,9,0,0,11,0,8,8,6.9,14.9,115,251,1.5,1.17,2.67,1.5,2.67,1.33,1.15,2.48,1.33,2.48
pl Poland,22,27.5,41.3,3,33,270,3,3,1,4,2,1,1,7,0,4.1,3.3,2.4,5.7,49,70,1,0.33,1.33,0.67,1,1.36,0.81,2.17,1.09,1.91
pt Portugal,24,28.1,66.6,5,55,510,5.7,3,1,4,3,0,1,9,0,9.5,8.7,6.4,15.1,167,340,0.53,0.18,0.71,0.53,0.71,1.68,1.12,2.8,1.54,2.66
ro Romania,21,27.8,38,4,44,360,4,4,2,6,3,1,1,8,0,3.5,2.7,1.8,4.5,32,76,1,0.5,1.5,0.75,1.25,0.87,0.46,1.33,0.67,1.13
sct Scotland,18,28.2,44.3,3,33,270,3,1,1,2,1,0,0,5,1,0.9,0.9,0.8,1.8,23,53,0.33,0.33,0.67,0.33,0.67,0.31,0.28,0.59,0.31,0.59
rs Serbia,19,27.5,51.3,3,33,270,3,1,1,2,1,0,0,8,0,2.1,2.1,1.8,3.9,46,108,0.33,0.33,0.67,0.33,0.67,0.7,0.6,1.3,0.7,1.3
sk Slovakia,20,29.8,47.8,4,44,390,4.3,4,3,7,4,0,0,8,0,4.4,4.4,3.7,8.1,62,128,0.92,0.69,1.62,0.92,1.62,1.02,0.85,1.87,1.02,1.87
si Slovenia,19,26.9,32.3,4,44,390,4.3,2,1,3,2,0,0,11,0,3.2,3.2,2.6,5.8,47,85,0.46,0.23,0.69,0.46,0.69,0.74,0.59,1.33,0.74,1.33
es Spain,25,26.9,58.1,7,77,660,7.3,14,13,27,14,0,0,17,1,12.9,12.9,12.2,25,201,356,1.91,1.77,3.68,1.91,3.68,1.76,1.66,3.41,1.76,3.41
ch Switzerland,20,29.3,47,5,55,480,5.3,8,5,13,8,0,0,9,0,6.7,6.7,4.2,10.9,90,189,1.5,0.94,2.44,1.5,2.44,1.26,0.79,2.05,1.26,2.05
tr Türkiye,23,26.1,49.4,5,55,450,5,8,6,14,8,0,0,19,1,7.3,7.3,6,13.3,103,175,1.6,1.2,2.8,1.6,2.8,1.46,1.19,2.66,1.46,2.66
ua Ukraine,23,25.5,51.3,3,33,270,3,2,2,4,2,0,0,3,0,3,3,2.5,5.5,56,116,0.67,0.67,1.33,0.67,1.33,1.01,0.84,1.84,1.01,1.84
