Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
Arsenal,1,37,33,3,2,7,0,34.3,0.28,1.3,0.04,148,474,31.2,1194,174,31.3,29.8,199,50.3,38.8,394,51,12.9,65,1.76,17.2
Aston Villa,2,37,49,1,1,2,0,49.3,0.33,0.3,0.01,170,443,38.4,1150,131,28.9,30.3,283,39.2,33.6,523,58,11.1,34,0.92,13.7
Bournemouth,3,36,43,4,1,5,0,53.3,0.3,10.3,0.29,171,453,37.7,901,149,36.3,36.8,259,48.6,39.8,449,24,5.3,59,1.64,12.6
Brentford,2,37,56,1,0,2,3,52.8,0.26,-0.2,-0.01,259,681,38,1415,126,36.7,34.5,318,50.9,40.8,584,47,8,34,0.92,11.5
Brighton,2,37,58,8,1,4,2,49.9,0.3,-6.1,-0.16,127,396,32.1,1151,127,29.5,25.1,240,23.8,23.2,431,29,6.7,49,1.32,15.4
Chelsea,2,37,43,5,0,5,0,44.9,0.26,1.9,0.05,104,437,23.8,1181,204,33.9,33.1,215,17.2,20.5,397,44,11.1,59,1.59,14.8
Crystal Palace,1,36,48,1,1,3,3,47.7,0.34,2.7,0.08,149,563,26.5,876,110,47.8,38.4,275,52.4,42.4,512,27,5.3,39,1.08,14.5
Everton,1,37,44,0,1,6,0,47.1,0.3,3.1,0.08,291,772,37.7,1265,158,49.9,39.4,275,51.3,41.6,532,27,5.1,57,1.54,15.7
Fulham,1,37,52,2,0,6,2,46.6,0.29,-3.4,-0.09,137,360,38.1,1106,163,24.8,29,260,33.1,30.2,493,21,4.3,32,0.86,13.4
Ipswich Town,3,37,79,6,0,11,2,71.6,0.33,-5.4,-0.15,185,523,35.4,972,176,36.9,35.2,305,53.8,41.3,603,70,11.6,34,0.92,7.6
Leicester City,3,37,78,3,0,4,3,72.5,0.35,-2.5,-0.07,177,658,26.9,1148,176,44.2,32,313,48.2,36.1,585,35,6,36,0.97,20.7
Liverpool,3,37,40,1,0,3,2,39.9,0.29,1.9,0.05,100,320,31.3,1071,169,25.2,26.7,235,21.3,24.3,365,17,4.7,55,1.49,15.8
Manchester City,2,36,43,4,1,4,2,44.1,0.35,3.1,0.09,105,250,42,1119,147,19.3,27.6,178,19.1,23.9,337,17,5,55,1.53,17.8
Manchester Utd,2,37,54,3,1,10,2,54,0.35,2,0.06,128,492,26,1190,146,32.1,30.3,240,45.8,35.7,447,26,5.8,30,0.81,11.8
Newcastle Utd,2,37,46,1,0,4,2,46.6,0.29,2.6,0.07,89,332,26.8,843,237,23,25.2,241,57.3,44.1,478,48,10,72,1.95,15.3
Nott'ham Forest,1,37,45,3,1,4,0,48,0.29,3,0.08,241,686,35.1,630,79,75.6,45.3,320,65.6,47.3,701,19,2.7,8,0.22,7.9
Southampton,3,37,84,7,0,11,0,82.5,0.32,-1.5,-0.04,228,683,33.4,1195,172,44,29.5,294,53.4,41.6,563,34,6,26,0.7,6.5
Tottenham,4,37,61,2,0,6,4,62.1,0.35,5.1,0.14,56,189,29.6,1019,189,16.5,27.2,267,7.9,16.4,492,48,9.8,45,1.22,11.1
West Ham,2,37,61,3,1,8,3,57.7,0.31,-0.3,-0.01,204,589,34.6,1132,171,37.1,35.4,305,55.4,41.6,592,22,3.7,41,1.11,13.7
Wolves,3,36,64,7,1,11,3,54,0.32,-7,-0.2,146,511,28.6,961,139,42.6,36.6,234,43.6,36.3,548,38,6.9,54,1.5,13.4
