Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Arsenal,25,26.6,56.8,37,407,"3,330",37,65,53,118,63,2,2,70,6,57.6,56.1,43.2,99.3,830,1764,1.76,1.43,3.19,1.7,3.14,1.56,1.17,2.72,1.52,2.68
Aston Villa,28,27.8,51,37,407,"3,330",37,56,45,101,53,3,6,74,3,55.7,50.9,41.5,92.3,709,1326,1.51,1.22,2.73,1.43,2.65,1.5,1.12,2.63,1.37,2.5
Bournemouth,29,25.9,48.3,36,396,"3,240",36,54,39,93,48,6,7,94,2,61.3,55.8,41.9,97.7,719,1411,1.5,1.08,2.58,1.33,2.42,1.7,1.16,2.87,1.55,2.71
Brentford,28,26.6,47.8,37,407,"3,330",37,64,43,107,59,5,6,61,1,57.6,53,41.3,94.2,579,1318,1.73,1.16,2.89,1.59,2.76,1.56,1.12,2.67,1.43,2.55
Brighton,32,25.6,52,37,407,"3,330",37,60,40,100,54,6,6,77,3,56.5,51.8,39.7,91.5,798,1478,1.62,1.08,2.7,1.46,2.54,1.53,1.07,2.6,1.4,2.47
Chelsea,29,24.5,57.3,37,407,"3,330",37,60,46,106,56,4,5,99,2,66.7,62.8,51.6,114.4,848,1573,1.62,1.24,2.86,1.51,2.76,1.8,1.4,3.2,1.7,3.09
Crystal Palace,29,27,43.4,36,396,"3,240",36,44,34,78,41,3,4,79,4,57,53.8,43.1,96.9,474,1113,1.22,0.94,2.17,1.14,2.08,1.58,1.2,2.78,1.5,2.69
Everton,26,28.8,41.1,37,407,"3,330",37,38,26,64,36,2,2,78,2,40.6,39,31.5,70.6,474,1027,1.03,0.7,1.73,0.97,1.68,1.1,0.85,1.95,1.06,1.91
Fulham,26,28.8,52.4,37,407,"3,330",37,53,44,97,50,3,4,80,2,47.8,44.6,36.9,81.6,773,1524,1.43,1.19,2.62,1.35,2.54,1.29,1,2.29,1.21,2.2
Ipswich Town,32,26.6,40.5,37,407,"3,330",37,34,25,59,32,2,2,91,5,33.6,32,23.7,55.7,488,896,0.92,0.68,1.59,0.86,1.54,0.91,0.64,1.55,0.87,1.51
Leicester City,31,27.4,45.6,37,407,"3,330",37,33,25,58,31,2,3,85,0,32.4,30.1,25,55.2,569,1068,0.89,0.68,1.57,0.84,1.51,0.88,0.68,1.55,0.81,1.49
Liverpool,24,28,57.4,37,407,"3,330",37,84,64,148,75,9,9,65,2,80,73.1,59.6,132.7,801,1846,2.27,1.73,4,2.03,3.76,2.16,1.61,3.77,1.98,3.59
Manchester City,29,27.6,61.7,36,396,"3,240",36,66,48,114,64,2,3,58,1,63.6,61.2,51.1,112.3,1085,1847,1.83,1.33,3.17,1.78,3.11,1.77,1.42,3.19,1.7,3.12
Manchester Utd,31,26.3,53.2,37,407,"3,330",37,40,28,68,37,3,3,84,3,49.7,47.3,37.9,85.2,669,1379,1.08,0.76,1.84,1,1.76,1.34,1.02,2.37,1.28,2.3
Newcastle Utd,24,28.2,50.9,37,407,"3,330",37,66,50,116,61,5,6,67,1,62.6,58.4,45.2,103.6,727,1541,1.78,1.35,3.14,1.65,3,1.69,1.22,2.91,1.58,2.8
Nott'ham Forest,23,27,40.9,37,407,"3,330",37,57,42,99,54,3,3,88,2,44.3,42,32.1,74.1,610,1079,1.54,1.14,2.68,1.46,2.59,1.2,0.87,2.07,1.13,2
Southampton,36,26,48.8,37,407,"3,330",37,24,15,39,24,0,2,89,3,32,30.3,24.5,54.8,628,1114,0.65,0.41,1.05,0.65,1.05,0.87,0.66,1.53,0.82,1.48
Tottenham,31,25.8,55.2,37,407,"3,330",37,60,47,107,58,2,3,69,1,56.8,54.4,43.1,97.5,827,1582,1.62,1.27,2.89,1.57,2.84,1.53,1.17,2.7,1.47,2.64
West Ham,27,28.9,48.2,37,407,"3,330",37,40,26,66,37,3,3,81,3,45.9,43.6,33,76.6,617,1192,1.08,0.7,1.78,1,1.7,1.24,0.89,2.13,1.18,2.07
Wolves,31,27.7,47.5,36,396,"3,240",36,50,39,89,50,0,0,75,2,41.3,41.3,33.3,74.5,568,1100,1.39,1.08,2.47,1.39,2.47,1.15,0.92,2.07,1.15,2.07
