Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90
Liverpool,37,25,8,4,85,40,45,83,2.24,80,36.8,43.2,1.17
Arsenal,37,19,14,4,67,33,34,71,1.92,58,33.8,23.8,0.64
Newcastle Utd,37,20,6,11,68,46,22,66,1.78,63,44.4,18.2,0.49
Chelsea,37,19,9,9,63,43,20,66,1.78,67,46.1,20.6,0.56
Aston Villa,37,19,9,9,58,49,9,66,1.78,56,47.2,8.5,0.23
Manchester City,36,19,8,9,67,43,24,65,1.81,64,45.3,18.3,0.51
Nott'ham Forest,37,19,8,10,58,45,13,65,1.76,44,47.8,-3.5,-0.1
Brighton,37,15,13,9,62,58,4,58,1.57,57,52.5,4,0.11
Brentford,37,16,7,14,65,56,9,55,1.49,58,54.4,3.2,0.09
Fulham,37,15,9,13,54,52,2,54,1.46,48,44.2,3.5,0.1
Bournemouth,36,14,11,11,55,43,12,53,1.47,61,46.7,14.6,0.41
Crystal Palace,36,12,13,11,46,48,-2,49,1.36,57,45.6,11.4,0.32
Everton,37,10,15,12,41,44,-3,45,1.22,41,45.1,-4.4,-0.12
Wolves,36,12,5,19,51,64,-13,41,1.14,41,55,-13.8,-0.38
West Ham,37,10,10,17,43,61,-18,40,1.08,46,59,-13.1,-0.35
Manchester Utd,37,10,9,18,42,54,-12,39,1.05,50,53.5,-3.8,-0.1
Tottenham,37,11,5,21,63,61,2,38,1.03,57,61.1,-4.4,-0.12
Leicester City,37,6,7,24,33,78,-45,25,0.68,32,70.3,-37.9,-1.02
Ipswich Town,37,4,10,23,35,79,-44,22,0.59,34,71.6,-38,-1.03
Southampton,37,2,6,29,25,84,-59,12,0.32,32,82.5,-50.5,-1.36
