Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
Arsenal,25,37,926,25.03,695,80,47,59,34,11,115,3.11,83,11,5,11,4,1
Aston Villa,28,37,841,22.73,596,85,51,56,39,14,102,2.76,80,7,3,6,4,2
Bournemouth,29,36,964,26.78,735,65,40,65,38,21,91,2.53,60,6,5,8,10,2
Brentford,28,37,760,20.54,554,71,39,50,35,11,111,3,77,11,5,8,9,1
Brighton,32,37,898,24.27,666,64,53,48,53,14,106,2.86,75,6,9,5,9,2
Chelsea,29,37,1050,28.38,802,59,58,69,39,23,108,2.92,75,5,9,8,7,4
Crystal Palace,29,36,838,23.28,602,75,31,70,45,15,80,2.22,53,8,5,8,5,1
Everton,26,37,690,18.65,517,62,43,28,30,10,66,1.78,44,4,6,4,5,3
Fulham,26,37,917,24.78,700,73,36,67,25,16,99,2.68,80,3,5,4,4,3
Ipswich Town,32,37,635,17.16,445,69,50,28,30,13,56,1.51,44,2,6,2,2,0
Leicester City,31,37,580,15.68,424,49,43,25,34,5,56,1.51,37,4,6,5,4,0
Liverpool,24,37,1126,30.43,861,69,81,71,27,17,146,3.95,111,7,12,9,6,1
Manchester City,29,36,1040,28.89,811,64,65,54,36,10,116,3.22,88,3,11,9,3,2
Manchester Utd,31,37,892,24.11,672,74,38,59,34,15,66,1.78,42,4,5,6,5,4
Newcastle Utd,24,37,906,24.49,694,67,39,46,36,24,115,3.11,94,7,3,5,4,2
Nott'ham Forest,23,37,781,21.11,558,72,35,57,39,20,91,2.46,58,10,3,8,8,4
Southampton,36,37,604,16.32,423,55,48,44,27,7,40,1.08,23,4,3,8,1,1
Tottenham,31,37,868,23.46,644,67,52,59,35,11,104,2.81,78,7,8,7,3,1
West Ham,27,37,797,21.54,566,69,47,64,34,17,62,1.68,37,5,3,13,3,1
Wolves,31,36,698,19.39,504,50,53,34,34,23,90,2.5,74,2,7,1,2,4
