Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Arsenal,25,37,70,6,3,393,398,79,737,223,344,2,3,0,1398,457,452,50.3
Aston Villa,28,37,74,3,2,396,489,52,595,234,367,6,2,0,1379,367,401,47.8
Bournemouth,29,36,94,2,0,493,377,65,792,339,385,7,4,0,1744,545,589,48.1
Brentford,28,37,61,1,0,311,332,62,661,279,367,6,1,3,1589,611,548,52.7
Brighton,32,37,77,3,2,430,398,44,671,308,415,5,8,2,1579,502,456,52.4
Chelsea,29,37,99,2,1,425,434,64,652,268,361,5,6,0,1539,393,380,50.8
Crystal Palace,29,36,79,4,3,393,389,70,594,312,427,4,2,3,1593,488,612,44.4
Everton,26,37,78,2,1,421,372,81,671,331,425,1,2,0,1486,599,546,52.3
Fulham,26,37,80,2,0,421,354,41,882,291,403,3,3,2,1578,522,522,50
Ipswich Town,32,37,91,5,4,420,395,50,483,296,333,2,6,2,1397,538,521,50.8
Leicester City,31,37,85,0,0,404,374,61,613,321,419,3,4,3,1447,490,558,46.8
Liverpool,24,37,65,2,1,423,349,59,694,287,382,6,2,2,1569,392,357,52.3
Manchester City,29,36,58,1,1,275,359,43,634,209,287,3,4,2,1369,296,316,48.4
Manchester Utd,31,37,84,3,1,393,361,64,611,351,478,3,4,2,1679,464,477,49.3
Newcastle Utd,24,37,67,1,0,382,441,71,671,265,363,4,2,2,1592,469,451,51
Nott'ham Forest,23,37,88,2,2,391,408,86,588,319,410,3,3,0,1545,560,550,50.5
Southampton,36,37,89,3,0,452,414,48,537,299,369,2,9,0,1404,455,407,52.8
Tottenham,31,37,69,1,1,433,475,62,748,311,407,3,2,4,1630,415,420,49.7
West Ham,27,37,81,3,2,434,388,72,604,322,377,2,3,3,1522,575,546,51.3
Wolves,31,36,75,2,2,465,403,59,530,291,446,0,9,3,1566,422,451,48.3
