Squad,# Pl,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Arsenal,25,37,19660,18062,1519,424,77,73,737,584,243,206,3,2,16557,79,268
Aston Villa,28,37,17475,15770,1653,568,93,54,595,489,227,146,23,1,14478,52,341
Bournemouth,29,36,15871,14194,1612,404,56,71,792,649,221,163,17,4,12136,65,296
Brentford,28,37,16610,15007,1541,376,66,67,661,583,171,136,2,0,12956,62,284
Brighton,32,37,18596,16976,1576,469,75,75,671,595,177,104,41,7,15311,44,304
Chelsea,29,37,20877,19217,1596,501,79,94,652,570,230,121,37,8,17686,64,297
Crystal Palace,29,36,15125,13507,1548,425,65,58,594,593,171,115,18,0,11425,70,289
Everton,26,37,14635,12972,1582,413,30,83,671,662,151,99,24,11,11165,81,292
Fulham,26,37,19276,17632,1603,432,41,115,882,620,202,88,87,1,15800,41,335
Ipswich Town,32,37,14311,12720,1541,424,44,59,483,555,141,107,18,1,11150,50,295
Leicester City,31,37,17164,15454,1649,428,52,45,613,655,138,86,28,4,13711,61,315
Liverpool,24,37,21065,19351,1655,436,66,125,694,666,241,141,68,1,17725,59,322
Manchester City,29,36,23264,21727,1494,423,83,83,634,571,244,122,35,4,20512,43,322
Manchester Utd,31,37,19771,18146,1561,403,89,104,611,634,193,96,43,11,16282,64,347
Newcastle Utd,24,37,18308,16552,1685,474,77,91,671,682,205,115,20,16,14915,71,348
Nott'ham Forest,23,37,13879,12223,1570,426,57,60,588,590,152,69,72,0,10438,86,276
Southampton,36,37,18198,16648,1502,460,41,60,537,481,147,98,32,0,15241,48,263
Tottenham,31,37,19655,17751,1842,552,53,70,748,684,241,107,65,0,16279,62,424
West Ham,27,37,17709,16062,1575,426,53,127,604,594,152,82,57,1,14256,72,334
Wolves,31,36,16742,15108,1575,468,54,118,530,643,130,88,28,2,13521,59,308
