Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
Arsenal,25,37,16557,19660,84.2,271051,85038,8318,9070,91.7,6930,7779,89.1,1010,1983,50.9,53,43.2,43.5,9.8,408,1342,422,70,1764
Aston Villa,28,37,14478,17475,82.8,248317,86217,6675,7393,90.3,6466,7270,88.9,1059,1990,53.2,45,41.5,36.5,3.5,354,1123,316,56,1326
Bournemouth,29,36,12136,15871,76.5,219671,82330,5249,6076,86.4,5316,6282,84.6,1294,2683,48.2,39,41.9,34.2,-2.9,419,1175,314,96,1411
Brentford,28,37,12956,16610,78,237838,90472,5686,6557,86.7,5638,6657,84.7,1400,2660,52.6,43,41.3,37.5,1.7,321,1078,315,88,1318
Brighton,32,37,15311,18596,82.3,259811,88251,7433,8218,90.4,6271,7176,87.4,1279,2348,54.5,40,39.7,37.7,0.3,361,1138,325,84,1478
Chelsea,29,37,17686,20877,84.7,305783,96435,7896,8615,91.7,8094,8943,90.5,1354,2491,54.4,46,51.6,41.3,-5.6,452,1464,344,73,1573
Crystal Palace,29,36,11425,15125,75.5,205498,76942,4980,5822,85.5,5117,6105,83.8,1089,2427,44.9,34,43.1,34.7,-9.1,361,855,262,67,1113
Everton,26,37,11165,14635,76.3,210522,82843,4935,5692,86.7,4521,5346,84.6,1489,2825,52.7,26,31.5,26.9,-5.5,291,984,258,89,1027
Fulham,26,37,15800,19276,82,282121,95184,7018,7811,89.8,7059,8014,88.1,1456,2627,55.4,44,36.9,34.3,7.1,391,1321,332,105,1524
Ipswich Town,32,37,11150,14311,77.9,198908,75678,4949,5603,88.3,4984,5833,85.4,996,2133,46.7,25,23.7,20.5,1.3,275,831,164,52,896
Leicester City,31,37,13711,17164,79.9,230094,82389,6591,7348,89.7,5702,6548,87.1,1054,2315,45.5,25,25,23.7,0,250,942,210,65,1068
Liverpool,24,37,17725,21065,84.1,301649,101678,8390,9138,91.8,7598,8575,88.6,1359,2452,55.4,64,59.6,52.7,4.4,496,1513,419,79,1846
Manchester City,29,36,20512,23264,88.2,333032,93264,10549,11364,92.8,8483,9257,91.6,1203,1918,62.7,48,51.1,51.2,-3.1,450,1610,419,61,1847
Manchester Utd,31,37,16282,19771,82.4,268718,86750,7959,8830,90.1,6630,7516,88.2,1211,2369,51.1,28,37.9,33.6,-9.9,386,1092,313,70,1379
Newcastle Utd,24,37,14915,18308,81.5,251974,88352,7180,8028,89.4,6267,7140,87.8,1146,2230,51.4,50,45.2,41.3,4.8,387,1100,387,69,1541
Nott'ham Forest,23,37,10438,13879,75.2,178640,72288,5172,5920,87.4,3868,4789,80.8,1004,2266,44.3,42,32.1,29.1,9.9,327,936,234,61,1079
Southampton,36,37,15241,18198,83.8,258347,83239,7169,7876,91,6559,7298,89.9,1148,2212,51.9,15,24.5,23.4,-9.5,266,970,214,59,1114
Tottenham,31,37,16279,19655,82.8,271035,91585,7484,8334,89.8,7257,8158,89,1079,2035,53,47,43.1,36.2,3.9,372,1248,366,83,1582
West Ham,27,37,14256,17709,80.5,249488,87850,6691,7516,89,6029,6920,87.1,1305,2497,52.3,26,33,31.4,-7,323,1044,262,71,1192
Wolves,31,36,13521,16742,80.8,230591,78439,6388,7100,90,5518,6276,87.9,1188,2375,50,39,33.3,25,5.7,296,936,261,68,1100
