Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,#ERROR!,#ERROR!,onxG,onxGA,xG+/-,xG+/-90
Arsenal,25,26.6,37,"3,330",90,100,37,407,83,266,137,18,196,1.92,67,33,34,0.92,57.6,33.8,23.8,0.64
Aston Villa,28,27.8,37,"3,330",90,100,37,407,80,241,165,23,166,1.78,58,49,9,0.24,55.7,47.2,8.5,0.23
Bournemouth,29,25.9,36,"3,240",90,100,36,396,83,242,153,19,171,1.47,55,43,12,0.33,61.3,46.7,14.6,0.41
Brentford,28,26.6,37,"3,330",90,100,37,407,85,269,139,15,194,1.49,65,56,9,0.24,57.6,54.4,3.2,0.09
Brighton,32,25.6,37,"3,330",90,100,37,407,82,225,179,18,154,1.57,62,58,4,0.11,56.5,52.5,4,0.11
Chelsea,29,24.5,37,"3,330",90,100,37,407,83,269,137,19,196,1.78,63,43,20,0.54,66.7,46.1,20.6,0.56
Crystal Palace,29,27,36,"3,240",90,100,36,396,83,254,139,18,185,1.36,46,48,-2,-0.06,57,45.6,11.4,0.32
Everton,26,28.8,37,"3,330",90,100,37,407,84,278,127,19,205,1.22,41,44,-3,-0.08,40.6,45.1,-4.4,-0.12
Fulham,26,28.8,37,"3,330",90,100,37,407,83,233,174,17,159,1.46,54,52,2,0.05,47.8,44.2,3.5,0.1
Ipswich Town,32,26.6,37,"3,330",90,100,37,407,82,231,173,17,160,0.59,35,79,-44,-1.19,33.6,71.6,-38,-1.03
Leicester City,31,27.4,37,"3,330",90,100,37,407,82,244,163,19,170,0.68,33,78,-45,-1.22,32.4,70.3,-37.9,-1.02
Liverpool,24,28,37,"3,330",90,100,37,407,82,247,160,19,173,2.24,85,40,45,1.22,80,36.8,43.2,1.17
Manchester City,29,27.6,36,"3,240",90,100,36,396,85,274,122,16,198,1.81,67,43,24,0.67,63.6,45.3,18.3,0.51
Manchester Utd,31,26.3,37,"3,330",90,100,37,407,81,249,156,23,176,1.05,42,54,-12,-0.32,49.7,53.5,-3.8,-0.1
Newcastle Utd,24,28.2,37,"3,330",90,100,37,407,83,247,159,18,174,1.78,68,46,22,0.59,62.6,44.4,18.2,0.49
Nott'ham Forest,23,27,37,"3,330",90,100,37,407,83,241,164,18,168,1.76,58,45,13,0.35,44.3,47.8,-3.5,-0.1
Southampton,36,26,37,"3,330",90,100,37,407,80,230,176,22,157,0.32,25,84,-59,-1.59,32,82.5,-50.5,-1.36
Tottenham,31,25.8,37,"3,330",90,100,37,407,82,255,153,22,179,1.03,63,61,2,0.05,56.8,61.1,-4.4,-0.12
West Ham,27,28.9,37,"3,330",90,100,37,407,81,237,167,22,166,1.08,43,61,-18,-0.49,45.9,59,-13.1,-0.35
Wolves,31,27.7,36,"3,240",90,100,36,396,83,238,157,17,166,1.14,51,64,-13,-0.36,41.3,55,-13.8,-0.38
