Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Arsenal,25,37,65,521,171,32.8,14.08,4.62,0.12,0.37,15.1,10,2,2,57.6,56.1,0.11,7.4,6.9
Aston Villa,28,37,56,472,158,33.5,12.76,4.27,0.11,0.34,16.2,12,3,6,55.7,50.9,0.11,0.3,2.1
Bournemouth,29,36,54,546,183,33.5,15.17,5.08,0.09,0.26,16.7,9,6,7,61.3,55.8,0.1,-7.3,-7.8
Brentford,28,37,64,421,166,39.4,11.38,4.49,0.14,0.36,14.9,10,5,6,57.6,53,0.13,6.4,6
Brighton,32,37,60,504,176,34.9,13.62,4.76,0.11,0.31,17.2,25,6,6,56.5,51.8,0.1,3.5,2.2
Chelsea,29,37,60,584,201,34.4,15.78,5.43,0.1,0.28,16.8,17,4,5,66.7,62.8,0.11,-6.7,-6.8
Crystal Palace,29,36,44,490,160,32.7,13.61,4.44,0.08,0.26,16.8,18,3,4,57,53.8,0.11,-13,-12.8
Everton,26,37,38,390,133,34.1,10.54,3.59,0.09,0.27,16.8,10,2,2,40.6,39,0.1,-2.6,-3
Fulham,26,37,53,503,164,32.6,13.59,4.43,0.1,0.3,16.4,10,3,4,47.8,44.6,0.09,5.2,5.4
Ipswich Town,32,37,34,360,116,32.2,9.73,3.14,0.09,0.28,17.7,10,2,2,33.6,32,0.09,0.4,0
Leicester City,31,37,33,329,105,31.9,8.89,2.84,0.09,0.3,17.3,8,2,3,32.4,30.1,0.09,0.6,0.9
Liverpool,24,37,84,625,212,33.9,16.89,5.73,0.12,0.35,16,11,9,9,80,73.1,0.12,4,1.9
Manchester City,29,36,66,572,199,34.8,15.89,5.53,0.11,0.32,16.9,19,2,3,63.6,61.2,0.11,2.4,2.8
Manchester Utd,31,37,40,499,159,31.9,13.49,4.3,0.07,0.23,17.3,14,3,3,49.7,47.3,0.1,-9.7,-10.3
Newcastle Utd,24,37,66,502,157,31.3,13.57,4.24,0.12,0.39,15.9,13,5,6,62.6,58.4,0.12,3.4,2.6
Nott'ham Forest,23,37,57,450,160,35.6,12.16,4.32,0.12,0.34,17.6,14,3,3,44.3,42,0.1,12.7,12
Southampton,36,37,24,334,104,31.1,9.03,2.81,0.07,0.23,16.3,6,0,2,32,30.3,0.09,-8,-6.3
Tottenham,31,37,60,490,176,35.9,13.24,4.76,0.12,0.33,16,13,2,3,56.8,54.4,0.11,3.2,3.6
West Ham,27,37,40,463,131,28.3,12.51,3.54,0.08,0.28,16.3,14,3,3,45.9,43.6,0.1,-5.9,-6.6
Wolves,31,36,50,401,146,36.4,11.14,4.06,0.12,0.34,18.1,18,0,0,41.3,41.3,0.1,8.7,8.7
