Model,Rate,Price, 
2023 Mercedes-Benz EQB 300 Base 4MATIC,4.7,"$48,900 ",
2022 Mercedes-Benz EQS 580 Base 4MATIC,4.6,"$75,799 ",
2023 Mercedes-Benz AMG GT 53 AMG GT 53,5,"$104,900 ",
2023 Mercedes-Benz EQB 250 250 4D Sport Utility,4.7,"$49,995 ",
2021 Mercedes-Benz AMG E 53 Base 4MATIC,4.6,"$59,546 ",
2023 Mercedes-Benz EQS 580 Base 4MATIC,4.7,"$92,610 ",
2018 Mercedes-Benz CLA 250 Base 4MATIC,4.3,"$19,990 ",
2017 Mercedes-Benz AMG C 63 S,4.9,"$47,250 ",
2023 Mercedes-Benz AMG GLE 53 4MATIC,4.3,"$79,349 ",
2023 Mercedes-Benz EQS 580 Base 4MATIC,4.8,"$90,997 ",
2019 Mercedes-Benz AMG GLE 43 Base 4MATIC,4.3,"$41,219 ",
2021 Mercedes-Benz AMG E 53 Base 4MATIC,4.7,"$76,577 ",
2023 Mercedes-Benz Sprinter 2500 Standard Roof,4.7,"$52,988 ",
2023 Mercedes-Benz Sprinter 2500 Standard Roof,4.7,"$50,988 ",
2022 Mercedes-Benz AMG GLB 35 Base,4.6,"$49,967 ",
2019 Mercedes-Benz CLS 450 Base,4,"$43,895 ",
2019 Mercedes-Benz G-Class G 550 4MATIC,4,"$122,900 ",
2020 Mercedes-Benz A-Class A 220,4.7,"$29,000 ",
2023 Mercedes-Benz Sprinter 2500 Standard Roof,4.7,"$74,988 ",
2023 Mercedes-Benz EQB 300 Base 4MATIC,4.7,"$48,900 ",
2022 Mercedes-Benz EQS 580 Base 4MATIC,4.6,"$75,799 ",
2023 Mercedes-Benz AMG GT 53 AMG GT 53,5,"$104,900 ",
2023 Mercedes-Benz EQB 250 250 4D Sport Utility,4.7,"$49,995 ",
2021 Mercedes-Benz AMG E 53 Base 4MATIC,4.6,"$59,546 ",
2023 Mercedes-Benz EQS 580 Base 4MATIC,4.7,"$92,610 ",
2018 Mercedes-Benz CLA 250 Base 4MATIC,4.3,"$19,990 ",
2023 Mercedes-Benz AMG GLE 53 4MATIC,4.3,"$79,349 ",
2017 Mercedes-Benz AMG C 63 S,4.9,"$47,250 ",
2023 Mercedes-Benz EQS 580 Base 4MATIC,4.8,"$90,997 ",
2019 Mercedes-Benz AMG GLE 43 Base 4MATIC,4.3,"$41,219 ",
2021 Mercedes-Benz AMG E 53 Base 4MATIC,4.7,"$76,577 ",
2023 Mercedes-Benz Sprinter 2500 Standard Roof,4.7,"$52,988 ",
2023 Mercedes-Benz Sprinter 2500 Standard Roof,4.7,"$50,988 ",
2022 Mercedes-Benz AMG GLB 35 Base,4.6,"$49,967 ",
2019 Mercedes-Benz CLS 450 Base,4,"$43,895 ",
2019 Mercedes-Benz G-Class G 550 4MATIC,4,"$122,900 ",
2020 Mercedes-Benz A-Class A 220,4.7,"$29,000 ",
2023 Mercedes-Benz Sprinter 2500 Standard Roof,4.7,"$74,988 ",
2023 Mercedes-Benz EQB 300 Base 4MATIC,4.7,"$48,900 ",
2022 Mercedes-Benz EQS 580 Base 4MATIC,4.6,"$75,799 ",
2023 Mercedes-Benz AMG GT 53 AMG GT 53,5,"$104,900 ",
2023 Mercedes-Benz EQB 250 250 4D Sport Utility,4.7,"$49,995 ",
2021 Mercedes-Benz AMG E 53 Base 4MATIC,4.6,"$59,546 ",
2023 Mercedes-Benz EQS 580 Base 4MATIC,4.7,"$92,610 ",
2018 Mercedes-Benz CLA 250 Base 4MATIC,4.3,"$19,990 ",
2023 Mercedes-Benz AMG GLE 53 4MATIC,4.3,"$79,349 ",
2017 Mercedes-Benz AMG C 63 S,4.9,"$47,250 ",
2023 Mercedes-Benz EQS 580 Base 4MATIC,4.8,"$90,997 ",
2019 Mercedes-Benz AMG GLE 43 Base 4MATIC,4.3,"$41,219 ",
2021 Mercedes-Benz AMG E 53 Base 4MATIC,4.7,"$76,577 ",
