Squad,# Pl,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Arsenal,25,27.3,38,431,"3,420",38,79,54,133,73,6,7,81,6,2.08,1.42,3.5,1.92,3.34,2.39,1.39,2.32,1.24,0.83,2.06,1.17,2
Aston Villa,23,27.2,38,410,"3,420",38,44,38,82,42,2,2,42,2,1.16,1,2.16,1.11,2.11,1.89,1.03,1.87,1.16,0.9,2.06,1.1,2
Blackburn,27,27.2,38,416,"3,420",38,54,39,93,53,1,1,58,4,1.42,1.03,2.45,1.39,2.42,1.63,0.89,1.53,1.18,0.8,1.98,1.1,1.9
Bolton,30,28.6,38,407,"3,420",38,42,25,67,42,0,1,58,6,1.11,0.66,1.76,1.11,1.76,1.55,0.89,1.53,1.2,0.83,2.03,1.15,1.99
Charlton Ath,25,26.6,38,418,"3,420",38,36,25,61,36,0,1,61,3,0.95,0.66,1.61,0.95,1.61,1.87,1,1.79,1.25,0.85,2.1,1.19,2.04
Chelsea,25,26.8,38,411,"3,420",38,65,43,108,62,3,3,71,2,1.71,1.13,2.84,1.63,2.76,3.03,1.63,2.84,1.82,1.23,3.05,1.7,2.92
Derby County,34,25.8,38,409,"3,420",38,33,23,56,31,2,5,70,2,0.87,0.61,1.47,0.82,1.42,1.29,0.68,1.21,0.94,0.68,1.63,0.88,1.57
Everton,28,28,38,401,"3,420",38,44,31,75,41,3,3,62,4,1.16,0.82,1.97,1.08,1.89,1.95,1.08,1.92,1.34,1,2.34,1.32,2.32
Fulham,24,27.7,38,415,"3,420",38,35,28,63,34,1,3,51,1,0.92,0.74,1.66,0.89,1.63,2.97,1.58,2.84,1.64,1.18,2.82,1.49,2.67
Ipswich Town,26,27.2,38,410,"3,420",38,41,32,73,40,1,3,42,1,1.08,0.84,1.92,1.05,1.89,4,2.05,3.87,1.81,1.39,3.21,1.71,3.1
Leeds United,21,26,38,433,"3,420",38,54,46,100,53,1,2,74,5,1.42,1.21,2.63,1.39,2.61,4.45,2.47,4.29,2.42,1.8,4.22,2.2,4
Leicester City,33,27.1,38,415,"3,420",38,29,21,50,27,2,4,76,3,0.76,0.55,1.32,0.71,1.26,2.84,1.45,2.58,1.64,1.01,2.65,1.35,2.36
Liverpool,27,25.5,38,418,"3,420",38,63,51,114,62,1,3,43,2,1.66,1.34,3,1.63,2.97,1.76,1,1.76,0.94,0.71,1.64,0.91,1.62
Manchester Utd,28,27.5,38,402,"3,420",38,81,56,137,76,5,5,52,1,2.13,1.47,3.61,2,3.47,1.13,0.61,1.08,0.97,0.72,1.69,0.93,1.65
Middlesbrough,35,28.2,38,409,"3,420",38,33,21,54,31,2,3,54,7,0.87,0.55,1.42,0.82,1.37,1.61,0.92,1.58,1.13,0.9,2.03,1.11,2.01
Newcastle Utd,24,25.9,38,390,"3,420",38,72,53,125,67,5,7,47,2,1.89,1.39,3.29,1.76,3.16,2.18,1.29,2.13,1.48,0.96,2.43,1.37,2.33
Southampton,30,27.5,38,390,"3,420",38,42,30,72,38,4,4,34,3,1.11,0.79,1.89,1,1.79,2.5,1.39,2.42,1.26,0.86,2.12,1.18,2.03
Sunderland,26,26.5,38,415,"3,420",38,29,19,48,28,1,3,67,1,0.76,0.5,1.26,0.74,1.24,1.47,0.74,1.29,1.29,0.83,2.11,1.12,1.95
Tottenham,24,28.7,38,411,"3,420",38,48,33,81,45,3,3,59,4,1.26,0.87,2.13,1.18,2.05,2.24,1.18,2.13,1.28,0.97,2.24,1.2,2.16
West Ham,28,27.4,38,419,"3,420",38,48,34,82,44,4,5,68,3,1.26,0.89,2.16,1.16,2.05,2.18,1.18,2.08,1.42,0.99,2.41,1.34,2.33
