Squad,# Pl,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Arsenal,28,27.8,38,418,"3,420",38,84,66,150,79,5,6,56,2,2.21,1.74,3.95,2.08,3.82,1.39,2.32,1.24,0.83,2.06,1.17,2
Aston Villa,27,26.2,38,418,"3,420",38,42,29,71,39,3,4,66,4,1.11,0.76,1.87,1.03,1.79,1.03,1.87,1.16,0.9,2.06,1.1,2
Birmingham City,33,27.9,38,418,"3,420",38,40,26,66,36,4,5,74,3,1.05,0.68,1.74,0.95,1.63,0.89,1.53,1.18,0.8,1.98,1.1,1.9
Blackburn,28,27.7,38,418,"3,420",38,50,38,88,45,5,6,66,4,1.32,1,2.32,1.18,2.18,0.89,1.53,1.2,0.83,2.03,1.15,1.99
Bolton,27,29.1,38,418,"3,420",38,38,24,62,37,1,2,71,3,1,0.63,1.63,0.97,1.61,1,1.79,1.25,0.85,2.1,1.19,2.04
Charlton Ath,26,27,38,420,"3,420",38,43,24,67,39,4,5,56,1,1.13,0.63,1.76,1.03,1.66,1.63,2.84,1.82,1.23,3.05,1.7,2.92
Chelsea,23,27.8,38,416,"3,420",38,67,40,107,64,3,3,62,1,1.76,1.05,2.82,1.68,2.74,0.68,1.21,0.94,0.68,1.63,0.88,1.57
Everton,28,27.4,38,392,"3,420",38,48,32,80,44,4,4,56,5,1.26,0.84,2.11,1.16,2,1.08,1.92,1.34,1,2.34,1.32,2.32
Fulham,27,27.3,38,417,"3,420",38,38,23,61,32,6,7,58,6,1,0.61,1.61,0.84,1.45,1.58,2.84,1.64,1.18,2.82,1.49,2.67
Leeds United,29,25.8,38,401,"3,420",38,54,39,93,50,4,5,73,1,1.42,1.03,2.45,1.32,2.34,2.05,3.87,1.81,1.39,3.21,1.71,3.1
Liverpool,23,24.9,38,418,"3,420",38,61,49,110,57,4,6,48,1,1.61,1.29,2.89,1.5,2.79,2.47,4.29,2.42,1.8,4.22,2.2,4
Manchester City,26,27.8,38,419,"3,420",38,47,40,87,45,2,2,58,5,1.24,1.05,2.29,1.18,2.24,1.45,2.58,1.64,1.01,2.65,1.35,2.36
Manchester Utd,26,27,38,418,"3,420",38,73,56,129,64,9,9,46,1,1.92,1.47,3.39,1.68,3.16,1,1.76,0.94,0.71,1.64,0.91,1.62
Middlesbrough,29,26.4,38,418,"3,420",38,48,31,79,46,2,3,53,4,1.26,0.82,2.08,1.21,2.03,0.61,1.08,0.97,0.72,1.69,0.93,1.65
Newcastle Utd,26,24.8,38,420,"3,420",38,63,42,105,60,3,4,48,2,1.66,1.11,2.76,1.58,2.68,0.92,1.58,1.13,0.9,2.03,1.11,2.01
Southampton,26,27.2,38,417,"3,420",38,42,24,66,36,6,6,49,3,1.11,0.63,1.74,0.95,1.58,1.29,2.13,1.48,0.96,2.43,1.37,2.33
Sunderland,34,26,38,413,"3,420",38,21,16,37,20,1,3,60,0,0.55,0.42,0.97,0.53,0.95,1.39,2.42,1.26,0.86,2.12,1.18,2.03
Tottenham,25,28.1,38,414,"3,420",38,50,35,85,47,3,3,64,4,1.32,0.92,2.24,1.24,2.16,0.74,1.29,1.29,0.83,2.11,1.12,1.95
West Brom,23,27.2,38,418,"3,420",38,29,11,40,28,1,1,49,4,0.76,0.29,1.05,0.74,1.03,1.18,2.13,1.28,0.97,2.24,1.2,2.16
West Ham,24,27.3,38,422,"3,420",38,41,29,70,37,4,5,67,4,1.08,0.76,1.84,0.97,1.74,1.18,2.08,1.42,0.99,2.41,1.34,2.33
