Squad,# Pl,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Arsenal,22,27.3,38,419,"3,420",38,69,52,121,62,7,7,53,3,1.82,1.37,3.18,1.63,3,2.32,1.24,0.83,2.06,1.17,2
Aston Villa,23,25.7,38,418,"3,420",38,48,34,82,44,4,5,52,3,1.26,0.89,2.16,1.16,2.05,1.87,1.16,0.9,2.06,1.1,2
Birmingham City,27,27.4,38,428,"3,420",38,43,29,72,39,4,5,46,5,1.13,0.76,1.89,1.03,1.79,1.53,1.18,0.8,1.98,1.1,1.9
Blackburn,28,28.2,38,412,"3,420",38,52,39,91,52,0,0,61,3,1.37,1.03,2.39,1.37,2.39,1.53,1.2,0.83,2.03,1.15,1.99
Bolton,24,28.5,38,433,"3,420",38,47,35,82,46,1,1,66,0,1.24,0.92,2.16,1.21,2.13,1.79,1.25,0.85,2.1,1.19,2.04
Charlton Ath,24,28.4,38,406,"3,420",38,50,29,79,44,6,8,38,3,1.32,0.76,2.08,1.16,1.92,2.84,1.82,1.23,3.05,1.7,2.92
Chelsea,27,25.9,38,438,"3,420",38,67,58,125,63,4,4,46,3,1.76,1.53,3.29,1.66,3.18,1.21,0.94,0.68,1.63,0.88,1.57
Everton,27,27.4,38,414,"3,420",38,42,31,73,41,1,1,54,3,1.11,0.82,1.92,1.08,1.89,1.92,1.34,1,2.34,1.32,2.32
Fulham,30,27,38,421,"3,420",38,52,32,84,50,2,3,66,3,1.37,0.84,2.21,1.32,2.16,2.84,1.64,1.18,2.82,1.49,2.67
Leeds United,30,25.1,38,404,"3,420",38,40,28,68,36,4,4,73,5,1.05,0.74,1.79,0.95,1.68,3.87,1.81,1.39,3.21,1.71,3.1
Leicester City,30,29.3,38,391,"3,420",38,45,37,82,43,2,3,61,8,1.18,0.97,2.16,1.13,2.11,4.29,2.42,1.8,4.22,2.2,4
Liverpool,26,26,38,408,"3,420",38,53,36,89,45,8,10,46,1,1.39,0.95,2.34,1.18,2.13,2.58,1.64,1.01,2.65,1.35,2.36
Manchester City,24,27.9,38,418,"3,420",38,52,37,89,48,4,4,50,3,1.37,0.97,2.34,1.26,2.24,1.76,0.94,0.71,1.64,0.91,1.62
Manchester Utd,22,25.8,38,418,"3,420",38,63,54,117,62,1,4,46,3,1.66,1.42,3.08,1.63,3.05,1.08,0.97,0.72,1.69,0.93,1.65
Middlesbrough,27,27.6,38,418,"3,420",38,42,28,70,39,3,5,59,1,1.11,0.74,1.84,1.03,1.76,1.58,1.13,0.9,2.03,1.11,2.01
Newcastle Utd,24,25.8,38,429,"3,420",38,53,33,86,46,7,10,48,3,1.39,0.87,2.26,1.21,2.08,2.13,1.48,0.96,2.43,1.37,2.33
Portsmouth,32,28.6,38,433,"3,420",38,49,31,80,46,3,3,63,3,1.29,0.82,2.11,1.21,2.03,2.42,1.26,0.86,2.12,1.18,2.03
Southampton,28,28.1,38,403,"3,420",38,43,27,70,41,2,2,54,3,1.13,0.71,1.84,1.08,1.79,1.29,1.29,0.83,2.11,1.12,1.95
Tottenham,28,26.2,38,407,"3,420",38,47,33,80,44,3,3,61,0,1.24,0.87,2.11,1.16,2.03,2.13,1.28,0.97,2.24,1.2,2.16
Wolves,27,29.6,38,428,"3,420",38,39,25,64,38,1,4,68,2,1.03,0.66,1.68,1,1.66,2.08,1.42,0.99,2.41,1.34,2.33
