Squad,# Pl,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Arsenal,25,26.2,38,417,"3,420",38,86,68,154,83,3,4,47,1,2.26,1.79,4.05,2.18,3.97,1.24,0.83,2.06,1.17,2
Aston Villa,22,25.7,38,421,"3,420",38,43,34,77,40,3,6,57,2,1.13,0.89,2.03,1.05,1.95,1.16,0.9,2.06,1.1,2
Birmingham City,27,27.9,38,417,"3,420",38,37,24,61,35,2,2,63,3,0.97,0.63,1.61,0.92,1.55,1.18,0.8,1.98,1.1,1.9
Blackburn,31,27.8,38,414,"3,420",38,31,24,55,29,2,3,75,5,0.82,0.63,1.45,0.76,1.39,1.2,0.83,2.03,1.15,1.99
Bolton,25,28.6,38,418,"3,420",38,49,33,82,44,5,6,54,2,1.29,0.87,2.16,1.16,2.03,1.25,0.85,2.1,1.19,2.04
Charlton Ath,22,28,38,414,"3,420",38,41,28,69,41,0,0,39,4,1.08,0.74,1.82,1.08,1.82,1.82,1.23,3.05,1.7,2.92
Chelsea,30,25.2,38,422,"3,420",38,71,58,129,66,5,6,51,0,1.87,1.53,3.39,1.74,3.26,0.94,0.68,1.63,0.88,1.57
Crystal Palace,27,25.7,38,418,"3,420",38,43,26,69,33,10,12,59,3,1.13,0.68,1.82,0.87,1.55,1.34,1,2.34,1.32,2.32
Everton,22,28.5,38,414,"3,420",38,45,34,79,43,2,3,57,4,1.18,0.89,2.08,1.13,2.03,1.64,1.18,2.82,1.49,2.67
Fulham,24,27.7,38,418,"3,420",38,52,39,91,50,2,4,57,7,1.37,1.03,2.39,1.32,2.34,1.81,1.39,3.21,1.71,3.1
Liverpool,29,26.2,38,414,"3,420",38,49,42,91,46,3,5,45,2,1.29,1.11,2.39,1.21,2.32,2.42,1.8,4.22,2.2,4
Manchester City,25,27.3,38,418,"3,420",38,45,33,78,40,5,6,44,3,1.18,0.87,2.05,1.05,1.92,1.64,1.01,2.65,1.35,2.36
Manchester Utd,26,26,38,416,"3,420",38,57,45,102,54,3,4,52,5,1.5,1.18,2.68,1.42,2.61,0.94,0.71,1.64,0.91,1.62
Middlesbrough,27,28.4,38,418,"3,420",38,49,39,88,48,1,1,55,2,1.29,1.03,2.32,1.26,2.29,0.97,0.72,1.69,0.93,1.65
Newcastle Utd,27,25.9,38,435,"3,420",38,44,32,76,41,3,3,60,5,1.16,0.84,2,1.08,1.92,1.13,0.9,2.03,1.11,2.01
Norwich City,25,27.6,38,422,"3,420",38,41,29,70,38,3,4,35,2,1.08,0.76,1.84,1,1.76,1.48,0.96,2.43,1.37,2.33
Portsmouth,26,27.5,38,386,"3,420",38,41,30,71,35,6,6,54,2,1.08,0.79,1.87,0.92,1.71,1.26,0.86,2.12,1.18,2.03
Southampton,35,28.4,38,415,"3,420",38,44,30,74,41,3,3,45,2,1.16,0.79,1.95,1.08,1.87,1.29,0.83,2.11,1.12,1.95
Tottenham,31,24.8,38,412,"3,420",38,47,32,79,46,1,1,58,1,1.24,0.84,2.08,1.21,2.05,1.28,0.97,2.24,1.2,2.16
West Brom,27,27.1,38,422,"3,420",38,34,25,59,32,2,3,44,5,0.89,0.66,1.55,0.84,1.5,1.42,0.99,2.41,1.34,2.33
