Squad,# Pl,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xAG,xG+xAG,npxG,npxG+xAG
Arsenal,27,26.2,38,418,"3,420",38,66,46,112,62,4,7,56,2,1.74,1.21,2.95,1.63,2.84,0.83,2.06,1.17,2
Aston Villa,27,25.2,38,416,"3,420",38,41,35,76,40,1,4,62,2,1.08,0.92,2,1.05,1.97,0.9,2.06,1.1,2
Birmingham City,30,28,38,417,"3,420",38,26,19,45,24,2,2,56,7,0.68,0.5,1.18,0.63,1.13,0.8,1.98,1.1,1.9
Blackburn,25,28,38,418,"3,420",38,49,29,78,45,4,4,78,6,1.29,0.76,2.05,1.18,1.95,0.83,2.03,1.15,1.99
Bolton,24,28,38,419,"3,420",38,47,33,80,45,2,4,68,3,1.24,0.87,2.11,1.18,2.05,0.85,2.1,1.19,2.04
Charlton Ath,28,27.9,38,422,"3,420",38,41,29,70,37,4,4,45,2,1.08,0.76,1.84,0.97,1.74,1.23,3.05,1.7,2.92
Chelsea,25,25.9,38,418,"3,420",38,71,50,121,67,4,4,65,5,1.87,1.32,3.18,1.76,3.08,0.68,1.63,0.88,1.57
Everton,28,27.8,38,422,"3,420",38,32,25,57,31,1,3,68,7,0.84,0.66,1.5,0.82,1.47,1,2.34,1.32,2.32
Fulham,27,27.9,38,417,"3,420",38,47,35,82,43,4,4,66,2,1.24,0.92,2.16,1.13,2.05,1.18,2.82,1.49,2.67
Liverpool,24,26.3,38,415,"3,420",38,54,42,96,50,4,5,53,5,1.42,1.11,2.53,1.32,2.42,1.39,3.21,1.71,3.1
Manchester City,26,27.3,38,418,"3,420",38,42,31,73,41,1,2,72,4,1.11,0.82,1.92,1.08,1.89,1.8,4.22,2.2,4
Manchester Utd,26,26.4,38,417,"3,420",38,68,50,118,66,2,3,61,2,1.79,1.32,3.11,1.74,3.05,1.01,2.65,1.35,2.36
Middlesbrough,37,26.5,38,413,"3,420",38,48,34,82,43,5,5,56,3,1.26,0.89,2.16,1.13,2.03,0.71,1.64,0.91,1.62
Newcastle Utd,26,26.7,38,414,"3,420",38,45,31,76,40,5,5,68,6,1.18,0.82,2,1.05,1.87,0.72,1.69,0.93,1.65
Portsmouth,34,26.7,38,419,"3,420",38,36,22,58,34,2,2,53,1,0.95,0.58,1.53,0.89,1.47,0.9,2.03,1.11,2.01
Sunderland,28,25,38,410,"3,420",38,24,15,39,22,2,2,73,4,0.63,0.39,1.03,0.58,0.97,0.96,2.43,1.37,2.33
Tottenham,29,24.9,38,414,"3,420",38,52,38,90,48,4,6,55,5,1.37,1,2.37,1.26,2.26,0.86,2.12,1.18,2.03
West Brom,29,26.4,38,418,"3,420",38,31,18,49,30,1,2,47,2,0.82,0.47,1.29,0.79,1.26,0.83,2.11,1.12,1.95
West Ham,28,26,38,415,"3,420",38,48,29,77,45,3,5,50,2,1.26,0.76,2.03,1.18,1.95,0.97,2.24,1.2,2.16
Wigan Athletic,25,28.3,38,420,"3,420",38,44,30,74,43,1,1,54,4,1.16,0.79,1.95,1.13,1.92,0.99,2.41,1.34,2.33
