Squad,# Pl,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG+xAG,npxG,npxG+xAG
Arsenal,25,25.1,38,417,"3,420",38,60,48,108,50,10,11,60,3,1.58,1.26,2.84,1.32,2.58,2.06,1.17,2
Aston Villa,30,25.5,38,436,"3,420",38,45,31,76,39,6,8,48,1,1.18,0.82,2,1.03,1.84,2.06,1.1,2
Blackburn,29,28.2,38,399,"3,420",38,49,33,82,44,5,7,84,8,1.29,0.87,2.16,1.16,2.03,1.98,1.1,1.9
Bolton,23,28.2,38,423,"3,420",38,45,35,80,39,6,7,85,4,1.18,0.92,2.11,1.03,1.95,2.03,1.15,1.99
Charlton Ath,29,27,38,429,"3,420",38,32,22,54,28,4,4,60,4,0.84,0.58,1.42,0.74,1.32,2.1,1.19,2.04
Chelsea,26,26.7,38,418,"3,420",38,58,49,107,55,3,4,66,4,1.53,1.29,2.82,1.45,2.74,3.05,1.7,2.92
Everton,26,27,38,411,"3,420",38,50,35,85,42,8,8,69,2,1.32,0.92,2.24,1.11,2.03,1.63,0.88,1.57
Fulham,25,28.2,38,424,"3,420",38,36,27,63,33,3,3,60,3,0.95,0.71,1.66,0.87,1.58,2.34,1.32,2.32
Liverpool,29,26.1,38,419,"3,420",38,56,44,100,50,6,7,43,0,1.47,1.16,2.63,1.32,2.47,2.82,1.49,2.67
Manchester City,29,26.1,38,394,"3,420",38,28,21,49,26,2,4,62,4,0.74,0.55,1.29,0.68,1.24,3.21,1.71,3.1
Manchester Utd,25,27.3,38,418,"3,420",38,80,60,140,75,5,6,58,1,2.11,1.58,3.68,1.97,3.55,4.22,2.2,4
Middlesbrough,27,25.4,38,418,"3,420",38,43,33,76,39,4,5,66,2,1.13,0.87,2,1.03,1.89,2.65,1.35,2.36
Newcastle Utd,29,26.1,38,418,"3,420",38,38,26,64,33,5,5,67,1,1,0.68,1.68,0.87,1.55,1.64,0.91,1.62
Portsmouth,25,28.3,38,405,"3,420",38,40,31,71,38,2,3,51,1,1.05,0.82,1.87,1,1.82,1.69,0.93,1.65
Reading,23,26.9,38,418,"3,420",38,48,38,86,45,3,3,41,3,1.26,1,2.26,1.18,2.18,2.03,1.11,2.01
Sheffield Utd,32,26,38,408,"3,420",38,31,21,52,29,2,4,68,2,0.82,0.55,1.37,0.76,1.32,2.43,1.37,2.33
Tottenham,26,25.1,38,418,"3,420",38,56,37,93,51,5,5,47,4,1.47,0.97,2.45,1.34,2.32,2.12,1.18,2.03
Watford,33,25.2,38,390,"3,420",38,24,18,42,21,3,3,49,2,0.63,0.47,1.11,0.55,1.03,2.11,1.12,1.95
West Ham,30,25.4,38,442,"3,420",38,35,26,61,34,1,3,86,2,0.92,0.68,1.61,0.89,1.58,2.24,1.2,2.16
Wigan Athletic,30,27.7,38,415,"3,420",38,37,24,61,34,3,6,77,3,0.97,0.63,1.61,0.89,1.53,2.41,1.34,2.33
