Squad,# Pl,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,npxG,npxG+xAG
Arsenal,27,24.6,38,418,"3,420",38,73,57,130,68,5,6,57,3,1.92,1.5,3.42,1.79,3.29,1.17,2
Aston Villa,22,25.5,38,418,"3,420",38,66,42,108,60,6,7,55,4,1.74,1.11,2.84,1.58,2.68,1.1,2
Birmingham City,28,25.3,38,418,"3,420",38,44,21,65,38,6,6,68,3,1.16,0.55,1.71,1,1.55,1.1,1.9
Blackburn,22,28,38,418,"3,420",38,50,32,82,45,5,6,78,6,1.32,0.84,2.16,1.18,2.03,1.15,1.99
Bolton,31,27.5,38,417,"3,420",38,34,22,56,34,0,1,76,0,0.89,0.58,1.47,0.89,1.47,1.19,2.04
Chelsea,27,27,38,417,"3,420",38,64,52,116,57,7,7,65,5,1.68,1.37,3.05,1.5,2.87,1.7,2.92
Derby County,36,27.6,38,418,"3,420",38,19,12,31,19,0,0,64,1,0.5,0.32,0.82,0.5,0.82,0.88,1.57
Everton,23,26.9,38,420,"3,420",38,53,30,83,52,1,1,40,3,1.39,0.79,2.18,1.37,2.16,1.32,2.32
Fulham,33,28,38,418,"3,420",38,37,17,54,35,2,3,64,6,0.97,0.45,1.42,0.92,1.37,1.49,2.67
Liverpool,25,26.2,38,418,"3,420",38,64,43,107,59,5,5,46,1,1.68,1.13,2.82,1.55,2.68,1.71,3.1
Manchester City,28,24.5,38,418,"3,420",38,42,30,72,40,2,2,49,4,1.11,0.79,1.89,1.05,1.84,2.2,4
Manchester Utd,25,26.7,38,418,"3,420",38,78,52,130,72,6,8,51,2,2.05,1.37,3.42,1.89,3.26,1.35,2.36
Middlesbrough,30,25.7,38,416,"3,420",38,43,27,70,41,2,2,85,2,1.13,0.71,1.84,1.08,1.79,0.91,1.62
Newcastle Utd,27,27,38,419,"3,420",38,43,27,70,39,4,4,61,1,1.13,0.71,1.84,1.03,1.74,0.93,1.65
Portsmouth,28,28.2,38,419,"3,420",38,46,32,78,42,4,7,59,3,1.21,0.84,2.05,1.11,1.95,1.11,2.01
Reading,26,27.6,38,418,"3,420",38,41,26,67,39,2,4,62,5,1.08,0.68,1.76,1.03,1.71,1.37,2.33
Sunderland,31,24.9,38,418,"3,420",38,36,21,57,35,1,2,63,4,0.95,0.55,1.5,0.92,1.47,1.18,2.03
Tottenham,30,25.5,38,418,"3,420",38,65,35,100,61,4,6,52,1,1.71,0.92,2.63,1.61,2.53,1.12,1.95
West Ham,28,26.5,38,418,"3,420",38,39,29,68,37,2,2,65,2,1.03,0.76,1.79,0.97,1.74,1.2,2.16
Wigan Athletic,27,27.7,38,418,"3,420",38,33,19,52,29,4,5,63,4,0.87,0.5,1.37,0.76,1.26,1.34,2.33
