Squad,# Pl,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,npxG+xAG
Arsenal,28,24.1,38,418,"3,420",38,65,48,113,60,5,5,63,3,1.71,1.26,2.97,1.58,2.84,2
Aston Villa,21,27.1,38,418,"3,420",38,48,35,83,44,4,5,53,2,1.26,0.92,2.18,1.16,2.08,2
Blackburn,28,28.3,38,418,"3,420",38,40,28,68,36,4,7,80,4,1.05,0.74,1.79,0.95,1.68,1.9
Bolton,24,27.3,38,418,"3,420",38,40,28,68,40,0,1,61,1,1.05,0.74,1.79,1.05,1.79,1.99
Chelsea,29,27.5,38,418,"3,420",38,65,45,110,63,2,2,48,2,1.71,1.18,2.89,1.66,2.84,2.04
Everton,25,26.4,38,417,"3,420",38,54,38,92,50,4,5,49,1,1.42,1,2.42,1.32,2.32,2.92
Fulham,26,28.8,38,418,"3,420",38,39,24,63,34,5,5,42,1,1.03,0.63,1.66,0.89,1.53,1.57
Hull City,29,27.7,38,418,"3,420",38,35,17,52,32,3,3,71,3,0.92,0.45,1.37,0.84,1.29,2.32
Liverpool,23,26.5,38,418,"3,420",38,73,50,123,68,5,6,50,0,1.92,1.32,3.24,1.79,3.11,2.67
Manchester City,34,24.5,38,418,"3,420",38,56,35,91,50,6,7,52,4,1.47,0.92,2.39,1.32,2.24,3.1
Manchester Utd,33,27.1,38,418,"3,420",38,68,51,119,64,4,4,67,5,1.79,1.34,3.13,1.68,3.03,4
Middlesbrough,28,24.5,38,418,"3,420",38,26,17,43,25,1,3,57,3,0.68,0.45,1.13,0.66,1.11,2.36
Newcastle Utd,29,26.8,38,417,"3,420",38,39,23,62,35,4,5,62,8,1.03,0.61,1.63,0.92,1.53,1.62
Portsmouth,29,28.6,38,417,"3,420",38,36,25,61,34,2,3,66,5,0.95,0.66,1.61,0.89,1.55,1.65
Stoke City,29,28.5,38,418,"3,420",38,36,23,59,31,5,6,75,5,0.95,0.61,1.55,0.82,1.42,2.01
Sunderland,30,26.1,38,418,"3,420",38,32,19,51,31,1,1,69,1,0.84,0.5,1.34,0.82,1.32,2.33
Tottenham,29,24.9,38,418,"3,420",38,43,30,73,40,3,4,56,5,1.13,0.79,1.92,1.05,1.84,2.03
West Brom,30,25.2,38,418,"3,420",38,34,23,57,31,3,5,65,1,0.89,0.61,1.5,0.82,1.42,1.95
West Ham,30,26.6,38,418,"3,420",38,41,25,66,40,1,3,70,4,1.08,0.66,1.74,1.05,1.71,2.16
Wigan Athletic,29,26.5,38,418,"3,420",38,33,15,48,28,5,5,65,4,0.87,0.39,1.26,0.74,1.13,2.33
