Squad,# Pl,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Arsenal,30,25.3,38,418,"3,420",38,79,53,132,76,3,4,56,1,2.08,1.39,3.47,2,3.39
Aston Villa,23,27.9,38,418,"3,420",38,48,34,82,43,5,8,62,2,1.26,0.89,2.16,1.13,2.03
Birmingham City,25,26.8,38,418,"3,420",38,36,22,58,34,2,4,72,1,0.95,0.58,1.53,0.89,1.47
Blackburn,28,27.3,38,417,"3,420",38,38,22,60,35,3,3,61,2,1,0.58,1.58,0.92,1.5
Bolton,25,27.4,38,418,"3,420",38,42,24,66,38,4,4,78,5,1.11,0.63,1.74,1,1.63
Burnley,26,27.9,38,418,"3,420",38,42,25,67,36,6,6,57,2,1.11,0.66,1.76,0.95,1.61
Chelsea,30,28.7,38,418,"3,420",38,99,64,163,88,11,12,60,5,2.61,1.68,4.29,2.32,4
Everton,28,27.4,38,418,"3,420",38,56,33,89,51,5,6,58,2,1.47,0.87,2.34,1.34,2.21
Fulham,29,29.2,38,418,"3,420",38,38,21,59,34,4,4,46,1,1,0.55,1.55,0.89,1.45
Hull City,30,27.7,38,418,"3,420",38,33,16,49,27,6,8,70,6,0.87,0.42,1.29,0.71,1.13
Liverpool,30,26.3,38,418,"3,420",38,58,37,95,55,3,3,57,5,1.53,0.97,2.5,1.45,2.42
Manchester City,31,27,38,418,"3,420",38,73,48,121,68,5,5,50,2,1.92,1.26,3.18,1.79,3.05
Manchester Utd,30,27.8,38,418,"3,420",38,74,48,122,68,6,8,51,4,1.95,1.26,3.21,1.79,3.05
Portsmouth,33,28.2,38,418,"3,420",38,34,19,53,31,3,6,76,5,0.89,0.5,1.39,0.82,1.32
Stoke City,23,28.5,38,418,"3,420",38,32,23,55,30,2,2,69,5,0.84,0.61,1.45,0.79,1.39
Sunderland,28,25.4,38,418,"3,420",38,45,28,73,39,6,9,87,9,1.18,0.74,1.92,1.03,1.76
Tottenham,30,25.4,38,418,"3,420",38,66,45,111,64,2,3,58,1,1.74,1.18,2.92,1.68,2.87
West Ham,30,26,38,418,"3,420",38,46,27,73,39,7,9,69,3,1.21,0.71,1.92,1.03,1.74
Wigan Athletic,27,26.3,38,418,"3,420",38,36,21,57,35,1,2,64,3,0.95,0.55,1.5,0.92,1.47
Wolves,29,25.9,38,418,"3,420",38,28,15,43,26,2,2,65,4,0.74,0.39,1.13,0.68,1.08
