Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Arsenal,27,26.8,,38,418,"3,420",38,68,48,116,65,3,3,54,0,1.79,1.26,3.05,1.71,2.97
Aston Villa,26,24.6,,38,418,"3,420",38,38,25,63,36,2,4,78,0,1,0.66,1.66,0.95,1.61
Cardiff City,32,25.4,,38,418,"3,420",38,31,24,55,30,1,1,49,0,0.82,0.63,1.45,0.79,1.42
Chelsea,29,27.7,,38,418,"3,420",38,69,39,108,64,5,7,62,0,1.82,1.03,2.84,1.68,2.71
Crystal Palace,31,28.1,,38,418,"3,420",38,32,21,53,27,5,6,55,0,0.84,0.55,1.39,0.71,1.26
Everton,28,27.6,,38,418,"3,420",38,58,42,100,55,3,3,55,0,1.53,1.11,2.63,1.45,2.55
Fulham,39,29,,38,418,"3,420",38,38,28,66,36,2,3,59,0,1,0.74,1.74,0.95,1.68
Hull City,27,27.5,,38,418,"3,420",38,35,21,56,33,2,3,55,0,0.92,0.55,1.47,0.87,1.42
Liverpool,25,25.7,,38,418,"3,420",38,97,61,158,87,10,12,53,0,2.55,1.61,4.16,2.29,3.89
Manchester City,23,27.7,,38,418,"3,420",38,97,63,160,91,6,7,72,0,2.55,1.66,4.21,2.39,4.05
Manchester Utd,30,26.7,,38,418,"3,420",38,63,37,100,58,5,5,70,0,1.66,0.97,2.63,1.53,2.5
Newcastle Utd,26,26.4,,38,418,"3,420",38,41,25,66,39,2,3,54,0,1.08,0.66,1.74,1.03,1.68
Norwich City,25,26.3,,38,418,"3,420",38,28,18,46,27,1,2,64,0,0.74,0.47,1.21,0.71,1.18
Southampton,24,25.1,,38,418,"3,420",38,52,37,89,49,3,3,61,0,1.37,0.97,2.34,1.29,2.26
Stoke City,26,27.3,,38,418,"3,420",38,44,26,70,40,4,5,79,0,1.16,0.68,1.84,1.05,1.74
Sunderland,31,26.5,,38,418,"3,420",38,41,24,65,35,6,6,68,0,1.08,0.63,1.71,0.92,1.55
Swansea City,27,26.5,,38,418,"3,420",38,47,37,84,43,4,4,58,0,1.24,0.97,2.21,1.13,2.11
Tottenham,28,25.2,,38,418,"3,420",38,50,33,83,45,5,6,65,0,1.32,0.87,2.18,1.18,2.05
West Brom,28,28.4,,38,418,"3,420",38,41,27,68,39,2,2,67,0,1.08,0.71,1.79,1.03,1.74
West Ham,29,28.5,,38,418,"3,420",38,36,22,58,34,2,2,65,0,0.95,0.58,1.53,0.89,1.47
