Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
ar Argentina,20,29.6,65,4,44,360,4,6,6,12,6,0,1,11,0,4.8,4,3.1,7,96,201,1.5,1.5,3,1.5,3,1.19,0.77,1.96,0.99,1.76
au Australia,15,27.7,52,3,33,270,3,2,0,2,0,2,2,7,0,3.3,1.7,1.4,3.2,45,129,0.67,0,0.67,0,0,1.09,0.48,1.57,0.58,1.06
be Belgium,21,27.7,53,7,77,630,7,15,12,27,14,1,1,11,0,11.8,11.1,8.8,19.9,176,299,2.14,1.71,3.86,2,3.71,1.69,1.26,2.95,1.58,2.84
br Brazil,18,28.2,58,5,55,450,5,8,7,15,8,0,0,7,0,9.8,9.8,7.9,17.8,167,245,1.6,1.4,3,1.6,3,1.97,1.59,3.55,1.97,3.55
co Colombia,20,26.8,51,4,44,390,4.3,6,5,11,6,0,0,9,1,3.8,3.8,3.2,7,55,140,1.38,1.15,2.54,1.38,2.54,0.87,0.75,1.61,0.87,1.61
cr Costa Rica,20,29.9,40,3,33,270,3,1,1,2,1,0,1,6,0,2.6,1.8,1.6,3.4,28,86,0.33,0.33,0.67,0.33,0.67,0.87,0.53,1.39,0.6,1.13
hr Croatia,21,28.8,57,7,77,720,8,13,8,21,12,1,2,15,0,9,7.5,5.2,12.7,176,329,1.62,1,2.62,1.5,2.5,1.13,0.66,1.78,0.93,1.59
dk Denmark,20,26.9,43,4,44,390,4.3,3,3,6,3,0,0,6,0,2.4,2.4,1.9,4.4,36,138,0.69,0.69,1.38,0.69,1.38,0.56,0.45,1.01,0.56,1.01
eg Egypt,16,28.9,43,3,33,270,3,2,1,3,1,1,1,5,0,2.5,1.7,1.4,3.1,51,93,0.67,0.33,1,0.33,0.67,0.84,0.47,1.31,0.57,1.05
eng England,21,25.5,54,7,77,690,7.7,12,6,18,9,3,3,8,0,9.7,7.4,5.8,13.2,132,251,1.57,0.78,2.35,1.17,1.96,1.26,0.76,2.02,0.96,1.72
fr France,21,25.5,48,7,77,630,7,12,6,18,9,3,3,12,0,8,5.6,3.7,9.3,99,268,1.71,0.86,2.57,1.29,2.14,1.14,0.52,1.67,0.81,1.33
de Germany,20,27.2,72,3,33,270,3,2,2,4,2,0,0,4,1,5.5,5.5,4.6,10.2,98,298,0.67,0.67,1.33,0.67,1.33,1.85,1.54,3.39,1.85,3.39
is Iceland,18,30,34,3,33,270,3,2,0,2,1,1,2,3,0,4.4,2.9,1.7,4.6,32,98,0.67,0,0.67,0.33,0.33,1.48,0.58,2.06,0.96,1.53
ir IR Iran,16,26.2,28,3,33,270,3,1,0,1,0,1,1,7,0,3.2,2.4,1.6,4,21,52,0.33,0,0.33,0,0,1.05,0.53,1.58,0.79,1.32
jp Japan,18,29.2,53,4,44,360,4,6,5,11,5,1,1,5,0,4.2,3.7,2.9,6.6,56,133,1.5,1.25,2.75,1.25,2.5,1.04,0.72,1.76,0.93,1.66
kr Korea Republic,19,27.1,37,3,33,270,3,3,2,5,3,0,0,10,0,2.8,2.8,1.8,4.6,50,72,1,0.67,1.67,1,1.67,0.92,0.59,1.52,0.92,1.52
mx Mexico,19,27.8,53,4,44,360,4,3,2,5,2,1,1,9,0,5,4.2,3.2,7.4,93,164,0.75,0.5,1.25,0.5,1,1.26,0.8,2.06,1.06,1.86
ma Morocco,19,28.6,49,3,33,270,3,2,1,3,2,0,0,8,0,2.6,2.6,1.8,4.4,56,93,0.67,0.33,1,0.67,1,0.88,0.6,1.48,0.88,1.48
ng Nigeria,16,24.8,47,3,33,270,3,3,2,5,2,1,1,4,0,2.9,2.1,1.4,3.5,43,96,1,0.67,1.67,0.67,1.33,0.95,0.48,1.43,0.69,1.17
pa Panama,20,28.3,37,3,33,270,3,1,1,2,1,0,0,11,0,2.2,2.2,1.7,4,32,67,0.33,0.33,0.67,0.33,0.67,0.75,0.58,1.33,0.75,1.33
pe Peru,17,27.5,50.7,3,33,270,3,2,1,3,2,0,1,5,0,2.3,1.5,1.3,2.8,58,107,0.67,0.33,1,0.67,1,0.76,0.44,1.2,0.5,0.93
pl Poland,21,27.6,50.7,3,33,270,3,2,2,4,2,0,0,3,0,3.3,3.3,2.7,6,33,106,0.67,0.67,1.33,0.67,1.33,1.11,0.89,2,1.11,2
pt Portugal,18,28.3,54.8,4,44,360,4,6,4,10,5,1,2,7,0,4.5,2.9,2.3,5.2,92,178,1.5,1,2.5,1.25,2.25,1.12,0.58,1.7,0.72,1.3
ru Russia,19,28.8,38,5,55,510,5.7,10,8,18,9,1,1,8,1,4.6,3.8,3.4,7.2,87,160,1.76,1.41,3.18,1.59,3,0.81,0.61,1.41,0.67,1.27
sa Saudi Arabia,20,28.1,59,3,33,270,3,2,1,3,1,1,2,1,0,3.1,1.5,1.2,2.7,59,130,0.67,0.33,1,0.33,0.67,1.04,0.39,1.43,0.51,0.9
sn Senegal,18,26,41.3,3,33,270,3,3,1,4,3,0,0,6,0,3,3,1.4,4.4,55,86,1,0.33,1.33,1,1.33,0.99,0.47,1.46,0.99,1.46
rs Serbia,18,27.9,42.7,3,33,270,3,2,1,3,2,0,0,9,0,3.2,3.2,2.7,5.9,61,136,0.67,0.33,1,0.67,1,1.07,0.91,1.98,1.07,1.98
es Spain,17,28.9,74,4,44,390,4.3,6,3,9,6,0,0,2,0,7.6,7.6,5.3,12.9,109,271,1.38,0.69,2.08,1.38,2.08,1.75,1.23,2.98,1.75,2.98
se Sweden,19,28.5,38,5,55,450,5,5,3,8,3,2,2,8,0,6.6,5,4.4,9.4,56,127,1,0.6,1.6,0.6,1.2,1.31,0.88,2.2,1,1.88
ch Switzerland,17,27.4,59.3,4,44,360,4,5,4,9,5,0,0,9,0,4.8,4.8,3.9,8.7,70,185,1.25,1,2.25,1.25,2.25,1.21,0.97,2.18,1.21,2.18
tn Tunisia,23,26.2,52.7,3,33,270,3,5,4,9,4,1,1,4,0,4.3,3.5,3,6.5,45,106,1.67,1.33,3,1.33,2.67,1.42,1,2.42,1.16,2.15
uy Uruguay,19,27.6,46.8,5,55,450,5,6,4,10,6,0,0,3,0,5.9,5.9,3.9,9.8,78,178,1.2,0.8,2,1.2,2,1.18,0.77,1.96,1.18,1.96
